episode,scene_index,scene_id,content_state,has_transcript,x,y,entities,dialogue_hints,artifact_hints
01x04 - Male Unbonding,2,e80028114ea9d096f89989a3b35778ae54b675ffa9989a8521c23de254d5dab1,signal,1,-12.201385,-13.233843,They; But; Right; What; Yeah,,
01x04 - Male Unbonding,3,0b6eef8c36b7951c433fbc44c597a8ab46eac0553d0b214b15c5bb555162bc8d,signal,1,-2.670362,-0.787960,God,,
01x04 - Male Unbonding,4,742f8302f54a66fd5829759613432140bf7c66e76a95faf78a43b156807cfd0c,signal,1,-3.463447,-1.213862,F; ##loss,,
01x04 - Male Unbonding,5,698503ac3c07eee7497acb31ef6d5bb137a1e7b6057a40f0374b918ba740cf1c,signal,1,-3.727795,-1.095430,Jerry; George,,
01x04 - Male Unbonding,6,f1b1e62d3148a8bf1b31f0bf915fe8e30c9a57c31e31bb414c32ce8bb7e2dc70,signal,1,-2.598782,11.591529,Joel; C; ##ram; ##ey,,
01x04 - Male Unbonding,7,6de3beb2a788e1a77bc7d6380bccc273de9f89b26575f3fae47be76275adca68,signal,1,0.742478,8.744359,Nick,,
01x04 - Male Unbonding,8,96f30bb8063b59041fd04409f6b7aae45f09ad21232cf0df81799ebc50ca84a7,signal,1,2.150465,7.198361,Joel Hornick; Stalin; America Industries,,
01x04 - Male Unbonding,9,d6bffc1758714123cfc02b9f11a4e9d5899bc358a8d90744d3d36e6cfa635821,signal,1,1.713349,7.527688,Forget; Can; I'm; He's; Sometimes; Just,,
01x04 - Male Unbonding,10,e894afb47a1bb89ec6c097447951e4b1af896cc6c5790cf703f3d0b13ef08259,signal,1,-0.089626,7.266589,Bill,,
01x04 - Male Unbonding,11,8b150bd51451a0a7b3f02b5473c3c5703bb3ba849a041abc3c066e09918a31c1,signal,1,-9.067117,-8.848047,Bruce; Gerald,,
01x04 - Male Unbonding,12,dc0abab236e096a458d6166a949bdc5ab8785cf8e02eebef466010360b4a3845,signal,1,11.767100,-9.582132,Lenny Bruce Bargiffy,,
01x04 - Male Unbonding,13,0135cbbc069736764b577d4c6f00aa7d65109a0e986ad8d07c002696e74008f5,signal,1,11.804116,-10.616878,Yeah; I'm; You; Are; I'll; Let,,
01x04 - Male Unbonding,14,b3b9a9494a79c57615eab74580cf23fd1ef17c41a27d1a5a60d3db4a81715659,signal,1,12.961851,-9.255053,Joel,,
01x04 - Male Unbonding,15,e2aaf657b95ec026f2825130feb285d6e60752260ac1bc695c7e248ad39d4def,signal,1,12.858385,-9.971085,Joel,,
01x04 - Male Unbonding,16,0c6e99a3a5740eec1e3c2591bb313fdd2d2a7241ad2c392efbee1a8b10f76059,signal,1,12.961143,-8.150941,Europe,,
01x04 - Male Unbonding,17,7845f2a5b25509312fc0367f138ae127ddd643bf25d00f590856e8cae0d40ec3,signal,1,12.422443,-8.092819,Nick,,
01x04 - Male Unbonding,18,6c8af30d976eb4104ac69ef737d15143f85ec0a7a325d26d39d92faad4d85258,signal,1,11.977191,-8.783778,Tonight; Wednesday; You; Yes; Okay; That,,
01x04 - Male Unbonding,19,4f3f5cd4db25d7d2b4c079b9f197dddd4ce63695a463912fcadeeec5841fe4bf,signal,1,4.050477,-5.890429,English,,
01x04 - Male Unbonding,20,87918aab7a9ad01c9dba6230908837abcfd2bcbd2159ccf269323cecbaf1b42b,signal,1,3.608298,-5.553146,George,,
01x04 - Male Unbonding,21,a14587f1e5b8796b79234047f1839902960e524cc44fc14d4a9b2a642a861a78,signal,1,1.271932,4.906609,Horn; ##ic; Hornic,,
01x04 - Male Unbonding,22,04dbcd52999dded6a90c033e9ed94031b90cc527c80b2e0209219ffa3a867fd3,signal,1,2.551222,-5.797391,Jerry,,
01x04 - Male Unbonding,23,155d01facab33d75af2d6a4767a8322aed02e30f71e7e32f1d2773d9de553987,signal,1,-8.850340,-13.316914,George,,
01x04 - Male Unbonding,24,2437c2424e3bc97cba82cae212073294ff6906bf7684a4c7adf176392ef3b218,signal,1,0.112962,8.436085,Keep; Well; I'm; Okay; I'll; Wait,,
01x04 - Male Unbonding,25,bcfe84962a8c4139d4ef018208b6ccc91117e7556e3505d2d96094a78783956d,signal,1,10.174154,8.921453,George,,
